ABANS ELECTRICALS PLC,ABAN.N0000,105.10,5110560,537119856.00,0.02
ABANS FINANCE PLC,AFSL.N0000,34.00,55467978,1885911252.00,0.08
ACCESS ENGINEERING PLC,AEL.N0000,25.00,1000000000,25000000000.00,1.01
ACL CABLES PLC,ACL.N0000,60.90,119787360,7295050224.00,0.30
ACL PLASTICS PLC,APLA.N0000,222.00,4212500,935175000.00,0.04
ACME PRINTING & PACKAGING PLC,ACME.N0000,6.60,41161913,271668625.80,0.01
ADAM CAPITAL PLC,PCHH.N0000,1.60,252000242,403200387.20,0.02
ADAM INVESTMENTS PLC,AINV.N0000,1.90,449276200,853624780.00,0.03
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,18.50,25000000,462500000.00,0.02
AGSTAR PLC,AGST.N0000,5.00,307526310,1537631550.00,0.06
AIA  INSURANCE LANKA PLC,CTCE.N0000,280.10,30749370,8612898537.00,0.35
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,44.30,336290010,14897647443.00,0.60
AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,45.50,21300000,969150000.00,0.04
AITKEN SPENCE PLC,SPEN.N0000,65.00,405996045,26389742925.00,1.07
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,66.00,32400000,2138400000.00,0.09
ALUFAB PLC,ALUF.N0000,37.50,12058200,452182500.00,0.02
ALUMEX PLC,ALUM.N0000,20.40,299302840,6105777936.00,0.25
AMANA BANK PLC,ABL.N0000,3.70,1250695267,4627572487.90,0.19
AMANA TAKAFUL  PLC,ATL.N0000,0.80,1800001296,1440001036.80,0.06
AMANA TAKAFUL LIFE PLC,ATLL.N0000,1.40,500000000,700000000.00,0.03
AMAYA LEISURE  PLC,CONN.N0000,65.00,51876976,3372003440.00,0.14
AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,22.40,20000000,448000000.00,0.02
ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,1.90,493308514,937286176.60,0.04
ARPICO FINANCE COMPANY PLC,ARPI.N0000,179.80,7437500,1337262500.00,0.05
ARPICO INSURANCE PLC,AINS.N0000,12.20,66230407,808010965.40,0.03
